configuration,j1,j2,j3,j4,eigenvalue_index,eigenvalue
j₁=j₂=j₃=j₄=1/2,0.5,0.5,0.5,0.5,0,0.5629369145925675
j₁=j₂=j₃=j₄=1/2,0.5,0.5,0.5,0.5,1,0.12820048175546683
"j₁=j₂=1, j₃=1/2, j₄=3/2",1.0,1.0,0.5,1.5,0,0.24348911475041657
"j₁=j₂=1, j₃=1/2, j₄=3/2",1.0,1.0,0.5,1.5,1,0.03484296679783241
j₁=j₂=j₃=j₄=1,1.0,1.0,1.0,1.0,0,0.35915517195671226
j₁=j₂=j₃=j₄=1,1.0,1.0,1.0,1.0,1,0.14524348961739791
j₁=j₂=j₃=j₄=1,1.0,1.0,1.0,1.0,2,0.030211944612561978
j₁=j₂=j₃=j₄=3/2,1.5,1.5,1.5,1.5,0,0.26342853496130403
j₁=j₂=j₃=j₄=3/2,1.5,1.5,1.5,1.5,1,0.14496538530198103
j₁=j₂=j₃=j₄=3/2,1.5,1.5,1.5,1.5,2,0.014783914091021014
j₁=j₂=j₃=j₄=3/2,1.5,1.5,1.5,1.5,3,0.003767802982702559
"j₁=1/2, j₂=1, j₃=3/2, j₄=2",0.5,1.0,1.5,2.0,0,0.10245987454331973
"j₁=1/2, j₂=1, j₃=3/2, j₄=2",0.5,1.0,1.5,2.0,1,0.009371062360399982
"j₁=1/2, j₂=1, j₃=3/2, j₄=2",0.5,1.0,1.5,2.0,2,0.008274710129885688
